S0 R1 G2 M1 P D1 N2 S1  S1 N2 D1 P M1 G2 R1 S0  kanakAngi
S0 R1 G3 M1 P D2 N2 S1  S1 N2 D2 P M1 G3 R1 S0  rathnAngi
S0 R3 G3 M1 P D3 N3 S1  S1 N3 D3 P M1 G3 R3 S0  gAnamUrthi
S0 R2 G3 M1 P D1 N2 S1  S1 N2 D1 P M1 G3 R2 S0  vanaspathi
S0 R2 G3 M1 P D3 N3 S1  S1 N3 D3 P M1 G3 R2 S0	mAnavathi
S0 R2 G2 M1 P D2 N3 S1  S1 N3 D2 P M1 G2 R2 S0	thAnarUpi
S0 R1 G2 M2 P D3 N3 S1	S1 N3 D3 P M2 G2 R1 S0	rAmapriya
S0 R1 G1 M2 P D1 N1 S1	S1 N1 D1 P M2 G1 R1 S0	gamanashrama
S0 R2 G3 M2 P D1 N3 S1	S1 N3 D1 P M2 G3 R2 S0	vishvAmbhari
S0 R1 G2 M2 P D1 N1 S1	S1 N1 D1 P M2 G2 R1 S0	shyAmaLAngi
S0 R1 G2 M2 P D2 N2 S1	S1 N2 D2 P M2 G2 R1 S0	shanmuKapriya
S0 R2 G2 M2 P D1 N2 S1	S1 N2 D1 P M2 G2 R2 S0	simHendra madhyamam
S0 R1 G2 M2 P D1 N3 S1	S1 N3 D1 P M2 G2 R1 S0	HemAvathi
S0 R3 G3 M2 P D2 N3 S1	S1 N3 D2 P M2 G3 R3 S0	DharmAvathi
S0 R2 G2 M2 P D1 N1 S1	S1 N1 D1 P M2 G2 R2 S0	nIthimathi
S0 R2 G2 M2 P D1 N3 S1	S1 N3 D1 P M2 G2 R2 S0	kAnthAmaNi
S0 R3 G3 M2 P D1 N1 S1	S1 N1 D1 P M2 G3 R3 S0	rishabhapriya
S0 R1 G3 M2 P D2 N3 S1	S1 N3 D2 P M2 G3 R1 S0	lathAngi
S0 R1 G2 M2 P D2 N3 S1	S1 N3 D2 P M2 G2 R1 S0	vAchaspathi
S0 R1 G1 M2 P D3 N3 S1	S1 N3 D3 P M2 G1 R1 S0	mEchakalyANi
S0 R2 G3 M2 P D2 N2 S1	S1 N2 D2 P M2 G3 R2 S0	chithrAmbari
S0 R3 G3 M2 P D2 N2 S1	S1 N2 D2 P M2 G3 R3 S0	sucharithra
S0 R1 G3 M2 P D1 N2 S1	S1 N2 D1 P M2 G3 R1 S0	jyothisvarUpiNi
S0 R1 G1 M2 P D2 N2 S1	S1 N2 D2 P M2 G1 R1 S0	dhAtuvardhani
S0 R2 G2 M2 P D3 N3 S1	S1 N3 D3 P M2 G2 R2 S0	nAsika bhUshaNi
S0 R1 G3 M2 P D3 N3 S1	S1 N3 D3 P M2 G3 R1 S0	kosalam
S0 R3 G3 M2 P D1 N1 S1	S1 N1 D1 P M2 G3 R3 S0	rasikapriya
